FirstOccurrence,LastOccurrence,Type,SourceIP,SourceMAC,DestinationIP,DestinationMAC,Protocol,PCAPName,MAC,IP,Function,Count,RiskScore
2025-02-13 19:50:07.350884 +0000 UTC,2025-02-13 19:50:07.350884 +0000 UTC,THROUGHPUT_VARIANCE_LIMIT_EXCEEDED,172.16.106.24,54:e3:b0:00:55:b1,172.16.106.11,28:63:36:9a:90:b3,Profinet,XhJcCk8KHAoHCNXnhduAEhoICLOh6rSzjAoiBwoFDQtqEKwSHAoHCNXnhduAEhoICLGrgYC7nBUiBwoFDRhqEKwaAwiAECICCBEqCAi0oQMQgIADERAxpFYLLgYAGAE.pcap,54:e3:b0:00:55:b1,172.16.106.24,,1,3.4
2025-02-13 19:50:53.350884 +0000 UTC,2025-02-13 19:50:53.350884 +0000 UTC,MAC,0.0.0.0,54:e3:b0:00:55:b7,0.0.0.0,00:50:56:c0:00:01,Profinet,SBJGCjkKFQoHCNXnhduAEhIBABoHCIGAgLaFChIWCgcI1eeF24ASEgEAGggIt6uBgLucFRoECJKRAiIAKgARGkQAXwsuBgAYAQ.pcap,00:50:56:c0:00:01,,,1,6.7
2025-02-13 19:50:53.350884 +0000 UTC,2025-02-13 19:50:53.350884 +0000 UTC,MAC,0.0.0.0,ac:64:17:03:4f:c5,0.0.0.0,01:0e:cf:00:00:00,Profinet,SBJGCjkKFQoHCNXnhduAEhIBABoHCICAgPjsIRIWCgcI1eeF24ASEgEAGggIxZ-NuMGMKxoECJKRAiIAKgAR6UMAXwsuBgAYAQ.pcap,01:0e:cf:00:00:00,,,1,6.7
2025-02-13 19:50:53.350884 +0000 UTC,2025-02-13 19:50:53.350884 +0000 UTC,MAC_PROTOCOL,0.0.0.0,54:e3:b0:00:55:b7,0.0.0.0,00:50:56:c0:00:01,Profinet,SBJGCjkKFQoHCNXnhduAEhIBABoHCIGAgLaFChIWCgcI1eeF24ASEgEAGggIt6uBgLucFRoECJKRAiIAKgARGkQAXwsuBgAYAQ.pcap,00:50:56:c0:00:01,,,1,3.4
2025-02-13 19:50:53.350884 +0000 UTC,2025-02-13 19:50:53.350884 +0000 UTC,MAC_PROTOCOL,0.0.0.0,ac:64:17:03:4f:c5,0.0.0.0,01:0e:cf:00:00:00,Profinet,SBJGCjkKFQoHCNXnhduAEhIBABoHCICAgPjsIRIWCgcI1eeF24ASEgEAGggIxZ-NuMGMKxoECJKRAiIAKgAR6UMAXwsuBgAYAQ.pcap,01:0e:cf:00:00:00,,,1,3.4
2025-02-13 19:50:53.350884 +0000 UTC,2025-02-13 19:50:53.350884 +0000 UTC,MAC_PROTOCOL,0.0.0.0,54:e3:b0:00:55:b7,0.0.0.0,ac:64:17:03:4f:c5,ARP,QBI-CjMKEwoHCNXnhduAEhoICLergYC7nBUSEwoHCNXnhduAEhoICMWfjbjBjCsaAwiGECIAKgAR7EMAXwsuBgA.pcap,54:e3:b0:00:55:b7,,,1,3.4
2025-02-13 19:50:53.350884 +0000 UTC,2025-02-13 19:50:53.350884 +0000 UTC,MAC_MAC,0.0.0.0,54:e3:b0:00:55:b7,0.0.0.0,00:50:56:c0:00:01,Profinet,SBJGCjkKFQoHCNXnhduAEhIBABoHCIGAgLaFChIWCgcI1eeF24ASEgEAGggIt6uBgLucFRoECJKRAiIAKgARGkQAXwsuBgAYAQ.pcap,,,,1,6.7
2025-02-13 19:50:53.350884 +0000 UTC,2025-02-13 19:50:53.350884 +0000 UTC,MAC_MAC,0.0.0.0,ac:64:17:03:4f:c5,0.0.0.0,01:0e:cf:00:00:00,Profinet,SBJGCjkKFQoHCNXnhduAEhIBABoHCICAgPjsIRIWCgcI1eeF24ASEgEAGggIxZ-NuMGMKxoECJKRAiIAKgAR6UMAXwsuBgAYAQ.pcap,,,,1,6.7
2025-02-13 19:50:53.350884 +0000 UTC,2025-02-13 19:50:53.350884 +0000 UTC,MAC_MAC,0.0.0.0,28:63:36:9a:90:b3,0.0.0.0,01:0e:cf:00:00:00,Profinet,SBJGCjkKFQoHCNXnhduAEhIBABoHCICAgPjsIRIWCgcI1eeF24ASEgEAGggIs6HqtLOMChoECJKRAiIAKgAR7EMAXwsuBgAYAQ.pcap,,,,1,6.7
2025-02-13 19:50:53.350884 +0000 UTC,2025-02-13 19:50:53.350884 +0000 UTC,MAC_MAC_PROTOCOL,0.0.0.0,54:e3:b0:00:55:b7,0.0.0.0,ac:64:17:03:4f:c5,ARP,QBI-CjMKEwoHCNXnhduAEhoICLergYC7nBUSEwoHCNXnhduAEhoICMWfjbjBjCsaAwiGECIAKgAR7EMAXwsuBgA.pcap,,,,1,3.4
2025-02-13 19:50:53.350884 +0000 UTC,2025-02-13 19:50:53.350884 +0000 UTC,MAC_MAC_PROTOCOL,0.0.0.0,ac:64:17:03:4f:c5,0.0.0.0,01:0e:cf:00:00:00,Profinet,SBJGCjkKFQoHCNXnhduAEhIBABoHCICAgPjsIRIWCgcI1eeF24ASEgEAGggIxZ-NuMGMKxoECJKRAiIAKgAR6UMAXwsuBgAYAQ.pcap,,,,1,3.4
2025-02-13 19:50:53.350884 +0000 UTC,2025-02-13 19:50:53.350884 +0000 UTC,MAC_MAC_PROTOCOL,0.0.0.0,54:e3:b0:00:55:b7,0.0.0.0,00:50:56:c0:00:01,Profinet,SBJGCjkKFQoHCNXnhduAEhIBABoHCIGAgLaFChIWCgcI1eeF24ASEgEAGggIt6uBgLucFRoECJKRAiIAKgARGkQAXwsuBgAYAQ.pcap,,,,1,3.4
2025-02-13 19:50:53.350884 +0000 UTC,2025-02-13 19:50:53.350884 +0000 UTC,MAC_MAC_PROTOCOL,0.0.0.0,28:63:36:9a:90:b3,0.0.0.0,01:0e:cf:00:00:00,Profinet,SBJGCjkKFQoHCNXnhduAEhIBABoHCICAgPjsIRIWCgcI1eeF24ASEgEAGggIs6HqtLOMChoECJKRAiIAKgAR7EMAXwsuBgAYAQ.pcap,,,,1,3.4
2025-02-13 19:50:53.350884 +0000 UTC,2025-02-13 19:50:53.350884 +0000 UTC,IP_FUNCTION,172.16.106.22,00:30:de:41:df:28,172.16.106.12,28:63:36:a9:ac:eb,Profinet,WxJZCk4KGwoHCNXnhduAEhoHCKi-h_KNBiIHCgUNFmoQrBIcCgcI1eeF24ASGggI69mmtbOMCiIHCgUNDGoQrBoDCIAQIgIIESoICICAAxCDgAMRjkIAXwsuBgA.pcap,,172.16.106.22,DCE RPC READ RESPONSE,1,6.7
2025-02-13 19:50:53.350884 +0000 UTC,2025-02-13 19:50:53.350884 +0000 UTC,IP_FUNCTION,172.16.106.22,00:30:de:41:df:28,172.16.106.12,28:63:36:a9:ac:eb,Profinet,WxJZCk4KGwoHCNXnhduAEhoHCKi-h_KNBiIHCgUNFmoQrBIcCgcI1eeF24ASGggI69mmtbOMCiIHCgUNDGoQrBoDCIAQIgIIESoICICAAxCDgAMRjkIAXwsuBgA.pcap,,172.16.106.22,DCE RPC READ REQUEST,1,6.7
2025-02-13 19:50:53.350884 +0000 UTC,2025-02-13 19:50:53.350884 +0000 UTC,IP_FUNCTION,172.16.106.22,00:30:de:41:df:28,172.16.106.12,28:63:36:a9:ac:eb,Profinet,WxJZCk4KGwoHCNXnhduAEhoHCKi-h_KNBiIHCgUNFmoQrBIcCgcI1eeF24ASGggI69mmtbOMCiIHCgUNDGoQrBoDCIAQIgIIESoICICAAxCDgAMRjkIAXwsuBgA.pcap,,172.16.106.12,DCE RPC READ RESPONSE,1,6.7
2025-02-13 19:50:53.350884 +0000 UTC,2025-02-13 19:50:53.350884 +0000 UTC,IP_FUNCTION,172.16.106.22,00:30:de:41:df:28,172.16.106.12,28:63:36:a9:ac:eb,Profinet,WxJZCk4KGwoHCNXnhduAEhoHCKi-h_KNBiIHCgUNFmoQrBIcCgcI1eeF24ASGggI69mmtbOMCiIHCgUNDGoQrBoDCIAQIgIIESoICICAAxCDgAMRjkIAXwsuBgA.pcap,,172.16.106.12,DCE RPC READ REQUEST,1,6.7
2025-02-13 19:50:53.350884 +0000 UTC,2025-02-13 19:50:53.350884 +0000 UTC,IP_FUNCTION,172.16.106.31,ac:64:17:35:60:50,172.16.106.12,28:63:36:a9:ac:eb,S7,XBJaCk0KHAoHCNXnhduAEhoICOvZprWzjAoiBwoFDQxqEKwSHAoHCNXnhduAEhoICNDA1bnBjCsiBwoFDR9qEKwaAwiAECICCAYqBghmEJmAAxFmsKNWCy4GABgB.pcap,,172.16.106.12,OPEN CONNECTION,1,6.7
2025-02-13 19:50:53.350884 +0000 UTC,2025-02-13 19:50:53.350884 +0000 UTC,IP_FUNCTION,172.16.106.31,ac:64:17:35:60:50,172.16.106.12,28:63:36:a9:ac:eb,S7,XBJaCk0KHAoHCNXnhduAEhoICOvZprWzjAoiBwoFDQxqEKwSHAoHCNXnhduAEhoICNDA1bnBjCsiBwoFDR9qEKwaAwiAECICCAYqBghmEJmAAxFmsKNWCy4GABgB.pcap,,172.16.106.12,STATE LIST,1,6.7
2025-02-13 19:50:53.350884 +0000 UTC,2025-02-13 19:50:53.350884 +0000 UTC,IP_FUNCTION,172.16.106.31,ac:64:17:35:60:50,172.16.106.14,28:63:36:a9:de:e6,S7,XBJaCk0KHAoHCNXnhduAEhoICOa9p7WzjAoiBwoFDQ5qEKwSHAoHCNXnhduAEhoICNDA1bnBjCsiBwoFDR9qEKwaAwiAECICCAYqBghmEPrbAhHpQwBfCy4GABgB.pcap,,172.16.106.14,PLC STOP,1,6.7
2025-02-13 19:50:53.350884 +0000 UTC,2025-02-13 19:50:53.350884 +0000 UTC,IP_FUNCTION,172.16.106.31,ac:64:17:35:60:50,172.16.106.14,28:63:36:a9:de:e6,S7,XBJaCk0KHAoHCNXnhduAEhoICOa9p7WzjAoiBwoFDQ5qEKwSHAoHCNXnhduAEhoICNDA1bnBjCsiBwoFDR9qEKwaAwiAECICCAYqBghmEPjbAhG3QwBfCy4GABgB.pcap,,172.16.106.14,PLC CONTROL,1,6.7
2025-02-13 19:50:53.350884 +0000 UTC,2025-02-13 19:50:53.350884 +0000 UTC,IP_FUNCTION,172.16.106.31,ac:64:17:35:60:50,172.16.106.14,28:63:36:a9:de:e6,S7,XBJaCk0KHAoHCNXnhduAEhoICOa9p7WzjAoiBwoFDQ5qEKwSHAoHCNXnhduAEhoICNDA1bnBjCsiBwoFDR9qEKwaAwiAECICCAYqBghmEPjbAhG3QwBfCy4GABgB.pcap,,172.16.106.14,DOWNLOAD REQUEST,1,6.7
2025-02-13 19:50:53.350884 +0000 UTC,2025-02-13 19:50:53.350884 +0000 UTC,IP_FUNCTION,172.16.106.31,ac:64:17:35:60:50,172.16.106.14,28:63:36:a9:de:e6,S7,XBJaCk0KHAoHCNXnhduAEhoICOa9p7WzjAoiBwoFDQ5qEKwSHAoHCNXnhduAEhoICNDA1bnBjCsiBwoFDR9qEKwaAwiAECICCAYqBghmEPjbAhG3QwBfCy4GABgB.pcap,,172.16.106.14,DOWNLOAD END,1,6.7
2025-02-13 19:50:53.350884 +0000 UTC,2025-02-13 19:50:53.350884 +0000 UTC,IP_FUNCTION,172.16.106.31,ac:64:17:35:60:50,172.16.106.14,28:63:36:a9:de:e6,S7,XBJaCk0KHAoHCNXnhduAEhoICOa9p7WzjAoiBwoFDQ5qEKwSHAoHCNXnhduAEhoICNDA1bnBjCsiBwoFDR9qEKwaAwiAECICCAYqBghmEPjbAhG3QwBfCy4GABgB.pcap,,172.16.106.14,DOWNLOAD,1,6.7
2025-02-13 19:50:53.350884 +0000 UTC,2025-02-13 19:50:53.350884 +0000 UTC,IP_FUNCTION,172.16.106.13,ac:64:17:03:4f:c5,172.16.106.25,54:e3:b0:00:55:b7,Profinet,XhJcCk8KHAoHCNXnhduAEhoICLergYC7nBUiBwoFDRlqEKwSHAoHCNXnhduAEhoICMWfjbjBjCsiBwoFDQ1qEKwaAwiAECICCBEqCAiAgAMQ1akDEYpDAF8LLgYAGAE.pcap,,172.16.106.25,DCE RPC CONTROL RESPONSE,1,6.7
2025-02-13 19:50:53.350884 +0000 UTC,2025-02-13 19:50:53.350884 +0000 UTC,IP_FUNCTION,172.16.106.13,ac:64:17:03:4f:c5,172.16.106.25,54:e3:b0:00:55:b7,Profinet,XhJcCk8KHAoHCNXnhduAEhoICLergYC7nBUiBwoFDRlqEKwSHAoHCNXnhduAEhoICMWfjbjBjCsiBwoFDQ1qEKwaAwiAECICCBEqCAiUkQIQ1akDERpEAF8LLgYAGAE.pcap,,172.16.106.25,DCE RPC CONNECT REQUEST,1,6.7
2025-02-13 19:50:53.350884 +0000 UTC,2025-02-13 19:50:53.350884 +0000 UTC,IP_FUNCTION,172.16.106.13,ac:64:17:03:4f:c5,172.16.106.25,54:e3:b0:00:55:b7,Profinet,XhJcCk8KHAoHCNXnhduAEhoICLergYC7nBUiBwoFDRlqEKwSHAoHCNXnhduAEhoICMWfjbjBjCsiBwoFDQ1qEKwaAwiAECICCBEqCAiAgAMQ1akDEYpDAF8LLgYAGAE.pcap,,172.16.106.25,DCE RPC CONTROL REQUEST,1,6.7
2025-02-13 19:50:53.350884 +0000 UTC,2025-02-13 19:50:53.350884 +0000 UTC,IP_FUNCTION,172.16.106.13,ac:64:17:03:4f:c5,172.16.106.25,54:e3:b0:00:55:b7,Profinet,XhJcCk8KHAoHCNXnhduAEhoICLergYC7nBUiBwoFDRlqEKwSHAoHCNXnhduAEhoICMWfjbjBjCsiBwoFDQ1qEKwaAwiAECICCBEqCAiAgAMQ1akDEYpDAF8LLgYAGAE.pcap,,172.16.106.25,DCE RPC CONNECT RESPONSE,1,6.7
2025-02-13 19:50:53.350884 +0000 UTC,2025-02-13 19:50:53.350884 +0000 UTC,IP_FUNCTION,172.16.106.31,ac:64:17:35:60:50,172.16.106.14,28:63:36:a9:de:e6,S7,XBJaCk0KHAoHCNXnhduAEhoICOa9p7WzjAoiBwoFDQ5qEKwSHAoHCNXnhduAEhoICNDA1bnBjCsiBwoFDR9qEKwaAwiAECICCAYqBghmEPjbAhG3QwBfCy4GABgB.pcap,,172.16.106.31,DOWNLOAD,1,6.7
2025-02-13 19:50:53.350884 +0000 UTC,2025-02-13 19:50:53.350884 +0000 UTC,IP_FUNCTION,172.16.106.31,ac:64:17:35:60:50,172.16.106.14,28:63:36:a9:de:e6,S7,XBJaCk0KHAoHCNXnhduAEhoICOa9p7WzjAoiBwoFDQ5qEKwSHAoHCNXnhduAEhoICNDA1bnBjCsiBwoFDR9qEKwaAwiAECICCAYqBghmEPjbAhG3QwBfCy4GABgB.pcap,,172.16.106.31,DOWNLOAD END,1,6.7
2025-02-13 19:50:53.350884 +0000 UTC,2025-02-13 19:50:53.350884 +0000 UTC,IP_FUNCTION,172.16.106.31,ac:64:17:35:60:50,172.16.106.14,28:63:36:a9:de:e6,S7,XBJaCk0KHAoHCNXnhduAEhoICOa9p7WzjAoiBwoFDQ5qEKwSHAoHCNXnhduAEhoICNDA1bnBjCsiBwoFDR9qEKwaAwiAECICCAYqBghmEPrbAhHpQwBfCy4GABgB.pcap,,172.16.106.31,PLC STOP,1,6.7
2025-02-13 19:50:53.350884 +0000 UTC,2025-02-13 19:50:53.350884 +0000 UTC,IP_FUNCTION,172.16.106.31,ac:64:17:35:60:50,172.16.106.14,28:63:36:a9:de:e6,S7,XBJaCk0KHAoHCNXnhduAEhoICOa9p7WzjAoiBwoFDQ5qEKwSHAoHCNXnhduAEhoICNDA1bnBjCsiBwoFDR9qEKwaAwiAECICCAYqBghmEPjbAhG3QwBfCy4GABgB.pcap,,172.16.106.31,PLC CONTROL,1,6.7
2025-02-13 19:50:53.350884 +0000 UTC,2025-02-13 19:50:53.350884 +0000 UTC,IP_FUNCTION,172.16.106.31,ac:64:17:35:60:50,172.16.106.14,28:63:36:a9:de:e6,S7,XBJaCk0KHAoHCNXnhduAEhoICOa9p7WzjAoiBwoFDQ5qEKwSHAoHCNXnhduAEhoICNDA1bnBjCsiBwoFDR9qEKwaAwiAECICCAYqBghmEPjbAhG3QwBfCy4GABgB.pcap,,172.16.106.31,DOWNLOAD REQUEST,1,6.7
2025-02-13 19:50:53.350884 +0000 UTC,2025-02-13 19:50:53.350884 +0000 UTC,MAC_FUNCTION,0.0.0.0,54:e3:b0:00:55:b7,0.0.0.0,00:50:56:c0:00:01,Profinet,SBJGCjkKFQoHCNXnhduAEhIBABoHCIGAgLaFChIWCgcI1eeF24ASEgEAGggIt6uBgLucFRoECJKRAiIAKgARGkQAXwsuBgAYAQ.pcap,00:50:56:c0:00:01,,PN DCP SET SUCCESS,1,6.7
2025-02-13 19:50:53.350884 +0000 UTC,2025-02-13 19:50:53.350884 +0000 UTC,MAC_FUNCTION,0.0.0.0,00:50:56:c0:00:01,0.0.0.0,54:e3:b0:00:55:b7,Profinet,QBI-CjMKEgoHCNXnhduAEhoHCIGAgLaFChITCgcI1eeF24ASGggIt6uBgLucFRoECJKRAiIAKgARGkQAXwsuBgA.pcap,00:50:56:c0:00:01,,PN DCP SET REQUEST,1,6.7
2025-02-13 19:50:53.350884 +0000 UTC,2025-02-13 19:50:53.350884 +0000 UTC,MAC_FUNCTION,0.0.0.0,ac:64:17:03:4f:c5,0.0.0.0,01:0e:cf:00:00:00,Profinet,SBJGCjkKFQoHCNXnhduAEhIBABoHCICAgPjsIRIWCgcI1eeF24ASEgEAGggIxZ-NuMGMKxoECJKRAiIAKgAR6UMAXwsuBgAYAQ.pcap,01:0e:cf:00:00:00,,PN DCP IDENTIFY REQUEST,1,6.7
2025-02-13 19:50:53.350884 +0000 UTC,2025-02-13 19:50:53.350884 +0000 UTC,MAC_FUNCTION,0.0.0.0,28:63:36:a9:de:e6,0.0.0.0,28:63:36:9a:90:b3,Profinet,SRJHCjoKFgoHCNXnhduAEhIBABoICLOh6rSzjAoSFgoHCNXnhduAEhIBABoICOa9p7WzjAoaBAiSkQIiACoAEc8xpFYLLgYAGAE.pcap,28:63:36:9a:90:b3,,ACYCLIC IO ALARM HIGH,1,6.7
2025-02-13 19:50:53.350884 +0000 UTC,2025-02-13 19:50:53.350884 +0000 UTC,MAC_FUNCTION,0.0.0.0,54:e3:b0:00:55:b1,0.0.0.0,28:63:36:9a:90:b3,Profinet,SRJHCjoKFgoHCNXnhduAEhIBABoICLOh6rSzjAoSFgoHCNXnhduAEhIBABoICLGrgYC7nBUaBAiSkQIiACoAEQgxpFYLLgYAGAE.pcap,28:63:36:9a:90:b3,,PN INVALID,1,6.7
2025-02-13 19:50:53.350884 +0000 UTC,2025-02-13 19:50:53.350884 +0000 UTC,MAC_FUNCTION,0.0.0.0,28:63:36:9a:90:b3,0.0.0.0,01:0e:cf:00:00:00,Profinet,SBJGCjkKFQoHCNXnhduAEhIBABoHCICAgPjsIRIWCgcI1eeF24ASEgEAGggIs6HqtLOMChoECJKRAiIAKgAR7EMAXwsuBgAYAQ.pcap,28:63:36:9a:90:b3,,PN DCP IDENTIFY REQUEST,1,6.7
2025-02-13 19:50:53.350884 +0000 UTC,2025-02-13 19:50:53.350884 +0000 UTC,MAC_FUNCTION,0.0.0.0,28:63:36:a9:de:e6,0.0.0.0,28:63:36:9a:90:b3,Profinet,SRJHCjoKFgoHCNXnhduAEhIBABoICLOh6rSzjAoSFgoHCNXnhduAEhIBABoICOa9p7WzjAoaBAiSkQIiACoAEc8xpFYLLgYAGAE.pcap,28:63:36:a9:de:e6,,ACYCLIC IO ALARM HIGH,1,6.7
2025-02-13 19:50:53.350884 +0000 UTC,2025-02-13 19:50:53.350884 +0000 UTC,MAC_FUNCTION,0.0.0.0,54:e3:b0:00:55:b1,0.0.0.0,28:63:36:9a:90:b3,Profinet,SRJHCjoKFgoHCNXnhduAEhIBABoICLOh6rSzjAoSFgoHCNXnhduAEhIBABoICLGrgYC7nBUaBAiSkQIiACoAEQgxpFYLLgYAGAE.pcap,54:e3:b0:00:55:b1,,PN INVALID,1,6.7
2025-02-13 19:50:53.350884 +0000 UTC,2025-02-13 19:50:53.350884 +0000 UTC,MAC_FUNCTION,0.0.0.0,54:e3:b0:00:55:b1,0.0.0.0,28:63:36:9a:90:b3,Profinet,SRJHCjoKFgoHCNXnhduAEhIBABoICLOh6rSzjAoSFgoHCNXnhduAEhIBABoICLGrgYC7nBUaBAiSkQIiACoAEQgxpFYLLgYAGAE.pcap,54:e3:b0:00:55:b1,,ACYCLIC IO ALARM LOW,1,6.7
2025-02-13 19:50:53.350884 +0000 UTC,2025-02-13 19:50:53.350884 +0000 UTC,MAC_FUNCTION,0.0.0.0,54:e3:b0:00:55:b7,0.0.0.0,00:50:56:c0:00:01,Profinet,SBJGCjkKFQoHCNXnhduAEhIBABoHCIGAgLaFChIWCgcI1eeF24ASEgEAGggIt6uBgLucFRoECJKRAiIAKgARGkQAXwsuBgAYAQ.pcap,54:e3:b0:00:55:b7,,PN DCP SET SUCCESS,1,6.7
2025-02-13 19:50:53.350884 +0000 UTC,2025-02-13 19:50:53.350884 +0000 UTC,MAC_FUNCTION,0.0.0.0,00:50:56:c0:00:01,0.0.0.0,54:e3:b0:00:55:b7,Profinet,QBI-CjMKEgoHCNXnhduAEhoHCIGAgLaFChITCgcI1eeF24ASGggIt6uBgLucFRoECJKRAiIAKgARGkQAXwsuBgA.pcap,54:e3:b0:00:55:b7,,PN DCP SET REQUEST,1,6.7
2025-02-13 19:50:53.350884 +0000 UTC,2025-02-13 19:50:53.350884 +0000 UTC,MAC_FUNCTION,0.0.0.0,54:e3:b0:00:55:b7,0.0.0.0,ac:64:17:03:4f:c5,ARP,QBI-CjMKEwoHCNXnhduAEhoICLergYC7nBUSEwoHCNXnhduAEhoICMWfjbjBjCsaAwiGECIAKgAR7EMAXwsuBgA.pcap,54:e3:b0:00:55:b7,,REPLY,1,6.7
2025-02-13 19:50:53.350884 +0000 UTC,2025-02-13 19:50:53.350884 +0000 UTC,MAC_FUNCTION,0.0.0.0,54:e3:b0:00:55:b7,0.0.0.0,ac:64:17:03:4f:c5,Profinet,RxJFCjoKFgoHCNXnhduAEhIBABoICLergYC7nBUSFgoHCNXnhduAEhIBABoICMWfjbjBjCsaBAiSkQIiACoAEf2Ro1YLLgYA.pcap,54:e3:b0:00:55:b7,,ACYCLIC IO ALARM LOW,1,6.7
2025-02-13 19:50:53.350884 +0000 UTC,2025-02-13 19:50:53.350884 +0000 UTC,MAC_FUNCTION,0.0.0.0,54:e3:b0:00:55:b7,0.0.0.0,ac:64:17:03:4f:c5,Profinet,RxJFCjoKFgoHCNXnhduAEhIBABoICLergYC7nBUSFgoHCNXnhduAEhIBABoICMWfjbjBjCsaBAiSkQIiACoAEf2Ro1YLLgYA.pcap,54:e3:b0:00:55:b7,,PN INVALID,1,6.7
