Type,SourceIP,SourceMAC,DestinationIP,DestinationMAC,Protocol,MAC,IP,Function,Packet Number
IP_FUNCTION,172.16.106.31,ac:64:17:35:60:50,172.16.106.12,28:63:36:a9:ac:eb,S7,,172.16.106.12,OPEN CONNECTION,22
IP_FUNCTION,172.16.106.31,ac:64:17:35:60:50,172.16.106.12,28:63:36:a9:ac:eb,S7,,172.16.106.12,STATE LIST,24
IP_IP_FUNCTION,172.16.106.31,ac:64:17:35:60:50,172.16.106.12,28:63:36:a9:ac:eb,S7,,,OPEN CONNECTION,22
IP_IP_FUNCTION,172.16.106.31,ac:64:17:35:60:50,172.16.106.12,28:63:36:a9:ac:eb,S7,,,STATE LIST,24
ARP_GRATUITOUS_REQUEST,0.0.0.0,28:63:36:9a:90:b3,0.0.0.0,ff:ff:ff:ff:ff:ff,ARP,28:63:36:9a:90:b3,,,50
IP_IP_PROTOCOL,172.16.106.11,28:63:36:9a:90:b3,172.16.106.14,28:63:36:a9:de:e6,S7,,,,115
IP_ACTIVE,172.16.106.11,28:63:36:9a:90:b3,172.16.106.14,28:63:36:a9:de:e6,S7,,172.16.106.14,,12
PROGRAM_UPLOAD,172.16.106.11,28:63:36:9a:90:b3,172.16.106.14,28:63:36:a9:de:e6,S7,28:63:36:9a:90:b3,172.16.106.11,,121
MAC,0.0.0.0,ac:64:17:03:4f:c5,0.0.0.0,01:0e:cf:00:00:00,Profinet,01:0e:cf:00:00:00,,,126
MAC_PROTOCOL,0.0.0.0,ac:64:17:03:4f:c5,0.0.0.0,01:0e:cf:00:00:00,Profinet,01:0e:cf:00:00:00,,,126
MAC_MAC,0.0.0.0,ac:64:17:03:4f:c5,0.0.0.0,01:0e:cf:00:00:00,Profinet,,,,126
MAC_MAC_PROTOCOL,0.0.0.0,ac:64:17:03:4f:c5,0.0.0.0,01:0e:cf:00:00:00,Profinet,,,,126
IP_FUNCTION,172.16.106.11,28:63:36:9a:90:b3,172.16.106.14,28:63:36:a9:de:e6,S7,,172.16.106.11,PLC STOP,122
IP_FUNCTION,172.16.106.11,28:63:36:9a:90:b3,172.16.106.14,28:63:36:a9:de:e6,S7,,172.16.106.11,DOWNLOAD REQUEST,118
IP_FUNCTION,172.16.106.11,28:63:36:9a:90:b3,172.16.106.14,28:63:36:a9:de:e6,S7,,172.16.106.11,DOWNLOAD END,120
IP_FUNCTION,172.16.106.11,28:63:36:9a:90:b3,172.16.106.14,28:63:36:a9:de:e6,S7,,172.16.106.11,OPEN CONNECTION,117
IP_FUNCTION,172.16.106.11,28:63:36:9a:90:b3,172.16.106.14,28:63:36:a9:de:e6,S7,,172.16.106.11,PLC CONTROL,121
IP_FUNCTION,172.16.106.11,28:63:36:9a:90:b3,172.16.106.14,28:63:36:a9:de:e6,S7,,172.16.106.11,DOWNLOAD,119
IP_FUNCTION,172.16.106.11,28:63:36:9a:90:b3,172.16.106.14,28:63:36:a9:de:e6,S7,,172.16.106.14,DOWNLOAD,119
IP_FUNCTION,172.16.106.11,28:63:36:9a:90:b3,172.16.106.14,28:63:36:a9:de:e6,S7,,172.16.106.14,PLC CONTROL,121
IP_FUNCTION,172.16.106.11,28:63:36:9a:90:b3,172.16.106.14,28:63:36:a9:de:e6,S7,,172.16.106.14,DOWNLOAD REQUEST,118
IP_FUNCTION,172.16.106.11,28:63:36:9a:90:b3,172.16.106.14,28:63:36:a9:de:e6,S7,,172.16.106.14,DOWNLOAD END,120
IP_FUNCTION,172.16.106.11,28:63:36:9a:90:b3,172.16.106.14,28:63:36:a9:de:e6,S7,,172.16.106.14,PLC STOP,122
MAC_FUNCTION,0.0.0.0,ac:64:17:03:4f:c5,0.0.0.0,01:0e:cf:00:00:00,Profinet,01:0e:cf:00:00:00,,PN DCP IDENTIFY REQUEST,126
MAC_FUNCTION,0.0.0.0,28:63:36:a9:de:e6,0.0.0.0,28:63:36:9a:90:b3,Profinet,28:63:36:9a:90:b3,,ACYCLIC IO ALARM HIGH,125
MAC_FUNCTION,0.0.0.0,28:63:36:a9:de:e6,0.0.0.0,28:63:36:9a:90:b3,Profinet,28:63:36:a9:de:e6,,ACYCLIC IO ALARM HIGH,125
MAC_FUNCTION,0.0.0.0,ac:64:17:03:4f:c5,0.0.0.0,01:0e:cf:00:00:00,Profinet,ac:64:17:03:4f:c5,,PN DCP IDENTIFY REQUEST,126
IP_IP_FUNCTION,172.16.106.11,28:63:36:9a:90:b3,172.16.106.14,28:63:36:a9:de:e6,S7,,,PLC CONTROL,121
IP_IP_FUNCTION,172.16.106.11,28:63:36:9a:90:b3,172.16.106.14,28:63:36:a9:de:e6,S7,,,OPEN CONNECTION,117
IP_IP_FUNCTION,172.16.106.11,28:63:36:9a:90:b3,172.16.106.14,28:63:36:a9:de:e6,S7,,,DOWNLOAD REQUEST,118
IP_IP_FUNCTION,172.16.106.11,28:63:36:9a:90:b3,172.16.106.14,28:63:36:a9:de:e6,S7,,,DOWNLOAD END,120
IP_IP_FUNCTION,172.16.106.11,28:63:36:9a:90:b3,172.16.106.14,28:63:36:a9:de:e6,S7,,,DOWNLOAD,119
IP_IP_FUNCTION,172.16.106.11,28:63:36:9a:90:b3,172.16.106.14,28:63:36:a9:de:e6,S7,,,PLC STOP,122
MAC_MAC_FUNCTION,0.0.0.0,ac:64:17:03:4f:c5,0.0.0.0,01:0e:cf:00:00:00,Profinet,,,PN DCP IDENTIFY REQUEST,126
MAC_MAC_FUNCTION,0.0.0.0,28:63:36:a9:de:e6,0.0.0.0,28:63:36:9a:90:b3,Profinet,,,ACYCLIC IO ALARM HIGH,125
PROGRAM_UPLOAD,172.16.106.11,28:63:36:9a:90:b3,172.16.106.14,28:63:36:a9:de:e6,S7,28:63:36:a9:de:e6,172.16.106.14,,121
MAC_PROTOCOL,0.0.0.0,54:e3:b0:00:55:b7,0.0.0.0,ac:64:17:03:4f:c5,ARP,54:e3:b0:00:55:b7,,,130
MAC_MAC,0.0.0.0,28:63:36:9a:90:b3,0.0.0.0,01:0e:cf:00:00:00,Profinet,,,,127
MAC_MAC_PROTOCOL,0.0.0.0,28:63:36:9a:90:b3,0.0.0.0,01:0e:cf:00:00:00,Profinet,,,,127
MAC_MAC_PROTOCOL,0.0.0.0,54:e3:b0:00:55:b7,0.0.0.0,ac:64:17:03:4f:c5,ARP,,,,130
IP_FUNCTION,172.16.106.13,ac:64:17:03:4f:c5,172.16.106.25,54:e3:b0:00:55:b7,Profinet,,172.16.106.25,DCE RPC CONNECT REQUEST,131
MAC_FUNCTION,0.0.0.0,28:63:36:9a:90:b3,0.0.0.0,01:0e:cf:00:00:00,Profinet,28:63:36:9a:90:b3,,PN DCP IDENTIFY REQUEST,127
MAC_FUNCTION,0.0.0.0,54:e3:b0:00:55:b1,0.0.0.0,28:63:36:9a:90:b3,Profinet,54:e3:b0:00:55:b1,,ACYCLIC IO ALARM LOW,124
MAC_FUNCTION,0.0.0.0,54:e3:b0:00:55:b7,0.0.0.0,ac:64:17:03:4f:c5,ARP,54:e3:b0:00:55:b7,,REPLY,130
MAC_FUNCTION,0.0.0.0,54:e3:b0:00:55:b7,0.0.0.0,ac:64:17:03:4f:c5,Profinet,54:e3:b0:00:55:b7,,ACYCLIC IO ALARM LOW,123
IP_IP_FUNCTION,172.16.106.13,ac:64:17:03:4f:c5,172.16.106.25,54:e3:b0:00:55:b7,Profinet,,,DCE RPC CONNECT REQUEST,131
MAC_MAC_FUNCTION,0.0.0.0,28:63:36:9a:90:b3,0.0.0.0,01:0e:cf:00:00:00,Profinet,,,PN DCP IDENTIFY REQUEST,127
MAC_MAC_FUNCTION,0.0.0.0,54:e3:b0:00:55:b1,0.0.0.0,28:63:36:9a:90:b3,Profinet,,,ACYCLIC IO ALARM LOW,124
MAC_MAC_FUNCTION,0.0.0.0,54:e3:b0:00:55:b7,0.0.0.0,ac:64:17:03:4f:c5,Profinet,,,ACYCLIC IO ALARM LOW,123
MAC_MAC_FUNCTION,0.0.0.0,54:e3:b0:00:55:b7,0.0.0.0,ac:64:17:03:4f:c5,ARP,,,REPLY,130
IP_FUNCTION,172.16.106.13,ac:64:17:03:4f:c5,172.16.106.25,54:e3:b0:00:55:b7,Profinet,,172.16.106.25,DCE RPC CONNECT RESPONSE,132
IP_FUNCTION,172.16.106.13,ac:64:17:03:4f:c5,172.16.106.25,54:e3:b0:00:55:b7,Profinet,,172.16.106.25,DCE RPC CONTROL RESPONSE,134
IP_FUNCTION,172.16.106.13,ac:64:17:03:4f:c5,172.16.106.25,54:e3:b0:00:55:b7,Profinet,,172.16.106.25,DCE RPC CONTROL REQUEST,133
IP_IP_FUNCTION,172.16.106.13,ac:64:17:03:4f:c5,172.16.106.25,54:e3:b0:00:55:b7,Profinet,,,DCE RPC CONTROL RESPONSE,134
IP_IP_FUNCTION,172.16.106.13,ac:64:17:03:4f:c5,172.16.106.25,54:e3:b0:00:55:b7,Profinet,,,DCE RPC CONTROL REQUEST,133
IP_IP_FUNCTION,172.16.106.13,ac:64:17:03:4f:c5,172.16.106.25,54:e3:b0:00:55:b7,Profinet,,,DCE RPC CONNECT RESPONSE,132
MAC,0.0.0.0,54:e3:b0:00:55:b7,0.0.0.0,00:50:56:c0:00:01,Profinet,00:50:56:c0:00:01,,,135
MAC_PROTOCOL,0.0.0.0,54:e3:b0:00:55:b7,0.0.0.0,00:50:56:c0:00:01,Profinet,00:50:56:c0:00:01,,,135
MAC_MAC,0.0.0.0,54:e3:b0:00:55:b7,0.0.0.0,00:50:56:c0:00:01,Profinet,,,,135
MAC_MAC_PROTOCOL,0.0.0.0,54:e3:b0:00:55:b7,0.0.0.0,00:50:56:c0:00:01,Profinet,,,,135
MAC_FUNCTION,0.0.0.0,00:50:56:c0:00:01,0.0.0.0,54:e3:b0:00:55:b7,Profinet,00:50:56:c0:00:01,,PN DCP SET REQUEST,135
MAC_FUNCTION,0.0.0.0,54:e3:b0:00:55:b7,0.0.0.0,00:50:56:c0:00:01,Profinet,00:50:56:c0:00:01,,PN DCP SET SUCCESS,136
MAC_FUNCTION,0.0.0.0,54:e3:b0:00:55:b7,0.0.0.0,00:50:56:c0:00:01,Profinet,54:e3:b0:00:55:b7,,PN DCP SET SUCCESS,136
MAC_FUNCTION,0.0.0.0,00:50:56:c0:00:01,0.0.0.0,54:e3:b0:00:55:b7,Profinet,54:e3:b0:00:55:b7,,PN DCP SET REQUEST,135
MAC_MAC_FUNCTION,0.0.0.0,54:e3:b0:00:55:b7,0.0.0.0,00:50:56:c0:00:01,Profinet,,,PN DCP SET SUCCESS,136
MAC_MAC_FUNCTION,0.0.0.0,00:50:56:c0:00:01,0.0.0.0,54:e3:b0:00:55:b7,Profinet,,,PN DCP SET REQUEST,135
MAC_ACTIVE,0.0.0.0,00:50:56:c0:00:01,0.0.0.0,54:e3:b0:00:55:b7,Profinet,00:50:56:c0:00:01,,,135
IP_IP_PROTOCOL,172.16.106.11,28:63:36:9a:90:b3,172.16.106.12,28:63:36:a9:ac:eb,S7,,,,139
IP_FUNCTION,172.16.106.11,28:63:36:9a:90:b3,172.16.106.12,28:63:36:a9:ac:eb,S7,,172.16.106.11,STATE LIST,143
IP_IP_FUNCTION,172.16.106.11,28:63:36:9a:90:b3,172.16.106.12,28:63:36:a9:ac:eb,S7,,,OPEN CONNECTION,141
IP_IP_FUNCTION,172.16.106.11,28:63:36:9a:90:b3,172.16.106.12,28:63:36:a9:ac:eb,S7,,,STATE LIST,143
IP_FUNCTION,172.16.106.22,00:30:de:41:df:28,172.16.106.12,28:63:36:a9:ac:eb,Profinet,,172.16.106.22,DCE RPC READ REQUEST,144
IP_FUNCTION,172.16.106.22,00:30:de:41:df:28,172.16.106.12,28:63:36:a9:ac:eb,Profinet,,172.16.106.22,DCE RPC READ RESPONSE,145
IP_FUNCTION,172.16.106.22,00:30:de:41:df:28,172.16.106.12,28:63:36:a9:ac:eb,Profinet,,172.16.106.12,DCE RPC READ RESPONSE,145
IP_FUNCTION,172.16.106.22,00:30:de:41:df:28,172.16.106.12,28:63:36:a9:ac:eb,Profinet,,172.16.106.12,DCE RPC READ REQUEST,144
IP_IP_FUNCTION,172.16.106.22,00:30:de:41:df:28,172.16.106.12,28:63:36:a9:ac:eb,Profinet,,,DCE RPC READ REQUEST,144
IP_IP_FUNCTION,172.16.106.22,00:30:de:41:df:28,172.16.106.12,28:63:36:a9:ac:eb,Profinet,,,DCE RPC READ RESPONSE,145
MAC_MAC_FUNCTION,0.0.0.0,28:63:36:a9:de:e6,0.0.0.0,28:63:36:9a:90:b3,ARP,,,REQUEST,146
