frame.number,protocol,function,eth.src,eth.dst,ip.src,ip.dst,tcp.flags_ack,tcp.flags_fin,tcp.flags_reset,tcp.flags_syn,tcp.hdr_len,tcp.len,tcp.payload,ip.flags_df,ip.flags_mf,ip.flags_rb,ip.frag_offset,ip.hdr_len,ip.len,ip.ttl,ip.checksum,tcp.checksum,tcp.dstport,tcp.srcport,udp.checksum,udp.dstport,udp.length,udp.payload,udp.srcport,ground_truth,Predictions,Predictions_2
2634,Profinet,DCE RPC CONNECT REQUEST,28:63:36:9a:90:b3,28:63:36:a9:ac:eb,172.16.106.11,172.16.106.12,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,0,20,431,64,0x0457,0,0,0,0xd966,34964,411,04:00:20:00:10:00:00:00:00:00:a0:de:97:6c:d1:11:82:71:00:64:01:01:00:2a:01:00:a0:de:97:6c:d1:11:82:71:00:a0:24:42:df:7d:30:c4:ef:16:00:00:10:10:8d:0e:28:63:36:9a:90:b3:00:00:00:00:01:00:00:00:00:00:00:00:00:00:ff:ff:ff:ff:43:01:00:00:00:00:2f:01:00:00:2f:01:00:00:2f:01:00:00:00:00:00:00:2f:01:00:00:01:01:00:41:01:00:00:01:96:9c:56:37:4d:90:cc:4e:9f:1b:68:8f:3d:d1:0d:89:00:01:28:63:36:9a:90:b3:de:a0:00:00:6c:97:11:d1:82:71:00:64:01:0e:00:2a:00:00:00:11:02:58:88:92:00:0b:66:65:73:74:6f:2d:73:70:73:2d:31:01:02:00:44:01:00:00:01:00:01:88:92:00:00:00:02:00:28:80:02:00:20:00:02:00:01:00:00:ff:ff:ff:ff:00:03:00:03:c0:00:00:00:00:00:00:00:00:01:00:00:00:00:00:02:00:02:03:e9:00:01:00:02:03:ea:00:04:00:01:00:02:03:e8:00:00:01:02:00:44:01:00:00:02:00:02:88:92:00:00:00:02:00:28:ff:ff:00:20:00:02:00:01:00:00:ff:ff:ff:ff:00:03:00:03:c0:00:00:00:00:00:00:00:00:01:00:00:00:00:00:01:00:02:03:e8:00:00:00:02:00:02:03:e9:00:03:00:02:03:ea:00:04:01:04:00:3c:01:00:00:01:00:00:00:00:00:02:00:00:a7:c4:00:00:00:03:03:e8:10:00:00:02:00:02:00:02:00:02:01:01:03:e9:20:00:00:02:00:01:00:01:00:02:01:01:03:ea:20:00:00:01:00:01:00:01:00:01:01:01:01:03:00:16:01:00:00:01:88:92:00:00:00:00:00:01:00:03:00:02:01:00:c0:00:a0:00,53428,0,0,0
2637,Profinet,DCE RPC CONNECT REQUEST,28:63:36:9a:90:b3,ac:64:17:03:4f:c5,172.16.106.11,172.16.106.13,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,0,20,405,64,0xa68e,0,0,0,0x94ec,34964,385,04:00:20:00:10:00:00:00:00:00:a0:de:97:6c:d1:11:82:71:00:64:01:14:00:2a:01:00:a0:de:97:6c:d1:11:82:71:00:a0:24:42:df:7d:65:c4:ef:16:00:00:10:10:8d:0e:28:63:36:9a:90:b3:00:00:00:00:01:00:00:00:00:00:00:00:00:00:ff:ff:ff:ff:29:01:00:00:00:00:66:01:00:00:15:01:00:00:66:01:00:00:00:00:00:00:15:01:00:00:01:01:00:41:01:00:00:01:9d:fa:8d:bb:1f:d6:8a:4c:a0:31:7a:77:0c:d7:6c:8f:00:01:28:63:36:9a:90:b3:de:a0:00:00:6c:97:11:d1:82:71:00:64:01:0e:00:2a:40:00:00:11:00:c8:88:92:00:0b:66:65:73:74:6f:2d:73:70:73:2d:31:01:02:00:3e:01:00:00:01:00:01:88:92:00:00:00:02:00:28:80:03:00:20:00:02:00:02:00:00:ff:ff:ff:ff:00:03:00:03:c0:00:00:00:00:00:00:00:00:01:00:00:00:00:00:01:00:01:03:e9:00:01:00:01:00:01:03:e8:00:00:01:02:00:3e:01:00:00:02:00:02:88:92:00:00:00:02:00:28:ff:ff:00:20:00:02:00:02:00:00:ff:ff:ff:ff:00:03:00:03:c0:00:00:00:00:00:00:00:00:01:00:00:00:00:00:01:00:01:03:e8:00:00:00:01:00:01:03:e9:00:03:01:04:00:2e:01:00:00:01:00:00:00:00:00:01:00:09:43:22:00:00:00:02:03:e8:00:00:91:6d:00:02:00:02:00:02:01:01:03:e9:00:00:29:bf:00:01:00:01:00:01:01:01:01:03:00:16:01:00:00:01:88:92:00:00:00:00:00:01:00:03:00:03:01:00:c0:00:a0:00,53428,0,0,0
2638,Profinet,DCE RPC CONNECT REQUEST,28:63:36:9a:90:b3,28:63:36:a9:de:e6,172.16.106.11,172.16.106.14,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,0,20,379,64,0x3187,0,0,0,0xe0ff,34964,359,04:00:20:00:10:00:00:00:00:00:a0:de:97:6c:d1:11:82:71:00:64:01:01:00:2a:01:00:a0:de:97:6c:d1:11:82:71:00:a0:24:42:df:7d:96:c4:ef:16:00:00:10:10:8d:0e:28:63:36:9a:90:b3:00:00:00:00:01:00:00:00:00:00:00:00:00:00:ff:ff:ff:ff:0f:01:00:00:00:00:fb:00:00:00:fb:00:00:00:fb:00:00:00:00:00:00:00:fb:00:00:00:01:01:00:41:01:00:00:01:55:a5:5c:8c:54:8a:ec:44:a8:8e:b6:c4:55:50:1a:3b:00:01:28:63:36:9a:90:b3:de:a0:00:00:6c:97:11:d1:82:71:00:64:01:0e:00:2a:00:00:00:11:02:58:88:92:00:0b:66:65:73:74:6f:2d:73:70:73:2d:31:01:02:00:38:01:00:00:01:00:01:88:92:00:00:00:02:00:28:80:04:00:20:00:02:00:01:00:00:ff:ff:ff:ff:00:03:00:03:c0:00:00:00:00:00:00:00:00:01:00:00:00:00:00:00:00:01:00:02:03:e8:00:00:01:02:00:38:01:00:00:02:00:02:88:92:00:00:00:02:00:28:ff:ff:00:20:00:02:00:01:00:00:ff:ff:ff:ff:00:03:00:03:c0:00:00:00:00:00:00:00:00:01:00:00:00:00:00:01:00:02:03:e8:00:00:00:00:01:04:00:20:01:00:00:01:00:00:00:00:00:02:00:00:a7:c4:00:00:00:01:03:e8:10:00:00:01:00:02:00:02:00:01:01:01:01:03:00:16:01:00:00:01:88:92:00:00:00:00:00:01:00:03:00:04:01:00:c0:00:a0:00,53428,0,0,0
2643,Profinet,DCE RPC CONNECT RESPONSE,ac:64:17:03:4f:c5,28:63:36:9a:90:b3,172.16.106.13,172.16.106.11,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,0,20,218,64,0xad48,0,0,0,0x9a93,53428,198,04:02:0a:00:10:00:00:00:00:00:a0:de:97:6c:d1:11:82:71:00:64:01:14:00:2a:01:00:a0:de:97:6c:d1:11:82:71:00:a0:24:42:df:7d:65:c4:ef:16:00:00:10:10:8d:0e:28:63:36:9a:90:b3:09:00:00:00:01:00:00:00:00:00:00:00:00:00:ff:ff:ff:ff:6e:00:00:00:00:00:00:00:00:00:5a:00:00:00:66:01:00:00:00:00:00:00:5a:00:00:00:81:01:00:1e:01:00:00:01:9d:fa:8d:bb:1f:d6:8a:4c:a0:31:7a:77:0c:d7:6c:8f:00:01:ac:64:17:03:4f:c5:88:92:81:02:00:08:01:00:00:01:00:01:80:03:81:02:00:08:01:00:00:02:00:02:80:02:81:03:00:08:01:00:00:01:00:80:01:00:81:06:00:10:01:00:00:0b:66:65:73:74:6f:2d:73:70:73:2d:33:00,49747,0,0,0
2650,Profinet,DCE RPC CONTROL REQUEST,28:63:36:9a:90:b3,ac:64:17:03:4f:c5,172.16.106.11,172.16.106.13,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,0,20,160,64,0x7112,0,0,0,0xdc32,49747,140,04:00:20:00:10:00:00:00:00:00:a0:de:97:6c:d1:11:82:71:00:64:01:14:00:2a:01:00:a0:de:97:6c:d1:11:82:71:00:a0:24:42:df:7d:65:c4:ef:16:00:00:10:10:8d:0e:28:63:36:9a:90:b3:09:00:00:00:01:00:00:00:01:00:00:00:04:00:ff:ff:ff:ff:34:00:00:00:00:00:20:00:00:00:20:00:00:00:20:00:00:00:00:00:00:00:20:00:00:00:01:10:00:1c:01:00:00:00:9d:fa:8d:bb:1f:d6:8a:4c:a0:31:7a:77:0c:d7:6c:8f:00:01:00:00:00:01:00:00,53428,0,0,0
2661,Profinet,DCE RPC CONTROL RESPONSE,ac:64:17:03:4f:c5,28:63:36:9a:90:b3,172.16.106.13,172.16.106.11,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,0,20,160,64,0xf8db,0,0,0,0x9229,53428,140,04:02:0a:00:10:00:00:00:00:00:a0:de:97:6c:d1:11:82:71:00:64:01:14:00:2a:01:00:a0:de:97:6c:d1:11:82:71:00:a0:24:42:df:7d:65:c4:ef:16:00:00:10:10:8d:0e:28:63:36:9a:90:b3:09:00:00:00:01:00:00:00:01:00:00:00:04:00:ff:ff:ff:ff:34:00:00:00:00:00:00:00:00:00:20:00:00:00:20:00:00:00:00:00:00:00:20:00:00:00:81:10:00:1c:01:00:00:00:9d:fa:8d:bb:1f:d6:8a:4c:a0:31:7a:77:0c:d7:6c:8f:00:01:00:00:00:08:00:00,49747,0,0,0
2673,Profinet,DCE RPC CONNECT RESPONSE,54:e3:b0:00:55:b1,28:63:36:9a:90:b3,172.16.106.24,172.16.106.11,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,0,20,198,64,0x4de2,0,0,0,0xf101,53428,178,04:02:28:00:10:00:00:00:00:00:a0:de:97:6c:d1:11:82:71:00:01:02:00:02:00:01:00:a0:de:97:6c:d1:11:82:71:00:a0:24:42:df:7d:cb:c3:ef:16:00:00:10:10:8d:0e:28:63:36:9a:90:b3:01:00:00:00:01:00:00:00:00:00:00:00:00:00:ff:ff:ff:ff:5a:00:00:00:00:01:00:00:00:00:46:00:00:00:a9:01:00:00:00:00:00:00:46:00:00:00:81:01:00:1e:01:00:00:01:64:3d:32:87:c5:6f:c9:4d:b2:5d:bd:0b:4a:92:4e:cd:00:01:54:e3:b0:00:55:b1:88:92:81:02:00:08:01:00:00:01:00:01:80:01:81:02:00:08:01:00:00:02:00:02:80:20:81:03:00:08:01:00:00:01:00:02:01:00,49152,0,0,0
2682,Profinet,DCE RPC CONTROL REQUEST,28:63:36:9a:90:b3,54:e3:b0:00:55:b1,172.16.106.11,172.16.106.24,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,0,20,160,64,0x4c97,0,0,0,0xb9b9,49152,140,04:00:20:00:10:00:00:00:00:00:a0:de:97:6c:d1:11:82:71:00:01:02:00:02:00:01:00:a0:de:97:6c:d1:11:82:71:00:a0:24:42:df:7d:cb:c3:ef:16:00:00:10:10:8d:0e:28:63:36:9a:90:b3:01:00:00:00:01:00:00:00:01:00:00:00:04:00:ff:ff:ff:ff:34:00:00:00:00:00:20:00:00:00:20:00:00:00:20:00:00:00:00:00:00:00:20:00:00:00:01:10:00:1c:01:00:00:00:64:3d:32:87:c5:6f:c9:4d:b2:5d:bd:0b:4a:92:4e:cd:00:01:00:00:00:01:00:00,53428,0,0,0
2700,Profinet,0,28:63:36:a9:ac:eb,28:63:36:9a:90:b3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2717,Profinet,DCE RPC CONNECT RESPONSE,28:63:36:a9:ac:eb,28:63:36:9a:90:b3,172.16.106.12,172.16.106.11,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,0,20,198,30,0x6fd4,0,0,0,0x436e,53428,178,04:02:0a:00:10:00:00:00:00:00:a0:de:97:6c:d1:11:82:71:00:64:01:01:00:2a:01:00:a0:de:97:6c:d1:11:82:71:00:a0:24:42:df:7d:30:c4:ef:16:00:00:10:10:8d:0e:28:63:36:9a:90:b3:06:00:00:00:01:00:00:00:00:00:00:00:00:00:ff:ff:ff:ff:5a:00:00:00:00:00:00:00:00:00:46:00:00:00:2f:01:00:00:00:00:00:00:46:00:00:00:81:01:00:1e:01:00:00:01:96:9c:56:37:4d:90:cc:4e:9f:1b:68:8f:3d:d1:0d:89:00:01:28:63:36:a9:ac:eb:88:92:81:02:00:08:01:00:00:01:00:01:80:02:81:02:00:08:01:00:00:02:00:02:80:e1:81:03:00:08:01:00:00:01:00:81:01:00,49154,0,0,0
2721,Profinet,DCE RPC CONTROL RESPONSE,54:e3:b0:00:55:b1,28:63:36:9a:90:b3,172.16.106.24,172.16.106.11,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,0,20,160,64,0x4e07,0,0,0,0x51af,53428,140,04:02:28:00:10:00:00:00:00:00:a0:de:97:6c:d1:11:82:71:00:01:02:00:02:00:01:00:a0:de:97:6c:d1:11:82:71:00:a0:24:42:df:7d:cb:c3:ef:16:00:00:10:10:8d:0e:28:63:36:9a:90:b3:01:00:00:00:01:00:00:00:01:00:00:00:04:00:ff:ff:ff:ff:34:00:00:00:00:01:00:00:00:00:20:00:00:00:20:00:00:00:00:00:00:00:20:00:00:00:81:10:00:1c:01:00:00:00:64:3d:32:87:c5:6f:c9:4d:b2:5d:bd:0b:4a:92:4e:cd:00:01:00:00:00:08:00:00,49152,0,0,0
2722,Profinet,DCE RPC CONNECT RESPONSE,28:63:36:a9:de:e6,28:63:36:9a:90:b3,172.16.106.14,172.16.106.11,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,0,20,198,30,0x6fe4,0,0,0,0x7647,53428,178,04:02:0a:00:10:00:00:00:00:00:a0:de:97:6c:d1:11:82:71:00:64:01:01:00:2a:01:00:a0:de:97:6c:d1:11:82:71:00:a0:24:42:df:7d:96:c4:ef:16:00:00:10:10:8d:0e:28:63:36:9a:90:b3:07:00:00:00:01:00:00:00:00:00:00:00:00:00:ff:ff:ff:ff:5a:00:00:00:00:00:00:00:00:00:46:00:00:00:fb:00:00:00:00:00:00:00:46:00:00:00:81:01:00:1e:01:00:00:01:55:a5:5c:8c:54:8a:ec:44:a8:8e:b6:c4:55:50:1a:3b:00:01:28:63:36:a9:de:e6:88:92:81:02:00:08:01:00:00:01:00:01:80:04:81:02:00:08:01:00:00:02:00:02:80:e1:81:03:00:08:01:00:00:01:00:81:01:00,49154,0,0,0
2729,Profinet,0,28:63:36:9a:90:b3,ac:64:17:03:4f:c5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2736,Profinet,DCE RPC CONNECT RESPONSE,00:a0:45:9b:55:d9,28:63:36:9a:90:b3,172.16.106.21,172.16.106.11,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,0,20,198,255,0x8ee5,0,0,0,0x0000,53428,178,04:02:0a:00:10:00:00:00:00:00:a0:de:97:6c:d1:11:82:71:00:01:10:00:00:b0:01:00:a0:de:97:6c:d1:11:82:71:00:a0:24:42:df:7d:68:c2:e0:16:00:00:10:10:8d:0e:28:63:36:9a:90:b3:0a:00:00:00:01:00:00:00:00:00:00:00:00:00:ff:ff:ff:ff:5a:00:00:00:00:00:00:00:00:00:46:00:00:00:8b:01:00:00:00:00:00:00:46:00:00:00:81:01:00:1e:01:00:00:01:e7:13:96:f9:ef:23:d8:48:8a:bd:bf:de:9c:b5:d3:b0:00:01:00:a0:45:9b:55:d9:88:92:81:02:00:08:01:00:00:01:00:01:80:00:81:02:00:08:01:00:00:02:00:02:80:01:81:03:00:08:01:00:00:01:00:01:01:00,49344,0,0,0
2740,Profinet,DCE RPC CONTROL REQUEST,28:63:36:9a:90:b3,28:63:36:a9:ac:eb,172.16.106.11,172.16.106.12,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,0,20,160,64,0x0265,0,0,0,0x26c8,49154,140,04:00:20:00:10:00:00:00:00:00:a0:de:97:6c:d1:11:82:71:00:64:01:01:00:2a:01:00:a0:de:97:6c:d1:11:82:71:00:a0:24:42:df:7d:30:c4:ef:16:00:00:10:10:8d:0e:28:63:36:9a:90:b3:06:00:00:00:01:00:00:00:01:00:00:00:04:00:ff:ff:ff:ff:34:00:00:00:00:00:20:00:00:00:20:00:00:00:20:00:00:00:00:00:00:00:20:00:00:00:01:10:00:1c:01:00:00:00:96:9c:56:37:4d:90:cc:4e:9f:1b:68:8f:3d:d1:0d:89:00:01:00:00:00:01:00:00,53428,0,0,0
2750,Profinet,0,54:e3:b0:00:55:b1,28:63:36:9a:90:b3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2757,Profinet,DCE RPC CONTROL REQUEST,28:63:36:9a:90:b3,28:63:36:a9:de:e6,172.16.106.11,172.16.106.14,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,0,20,160,64,0x820b,0,0,0,0x579e,49154,140,04:00:20:00:10:00:00:00:00:00:a0:de:97:6c:d1:11:82:71:00:64:01:01:00:2a:01:00:a0:de:97:6c:d1:11:82:71:00:a0:24:42:df:7d:96:c4:ef:16:00:00:10:10:8d:0e:28:63:36:9a:90:b3:07:00:00:00:01:00:00:00:01:00:00:00:04:00:ff:ff:ff:ff:34:00:00:00:00:00:20:00:00:00:20:00:00:00:20:00:00:00:00:00:00:00:20:00:00:00:01:10:00:1c:01:00:00:00:55:a5:5c:8c:54:8a:ec:44:a8:8e:b6:c4:55:50:1a:3b:00:01:00:00:00:01:00:00,53428,0,0,0
2765,Profinet,DCE RPC WRITE REQUEST,28:63:36:9a:90:b3,00:a0:45:9b:55:d9,172.16.106.11,172.16.106.21,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,0,20,198,64,0xc854,0,0,0,0x06b0,49344,178,04:00:20:00:10:00:00:00:00:00:a0:de:97:6c:d1:11:82:71:00:01:10:00:00:b0:01:00:a0:de:97:6c:d1:11:82:71:00:a0:24:42:df:7d:68:c2:e0:16:00:00:10:10:8d:0e:28:63:36:9a:90:b3:0a:00:00:00:01:00:00:00:01:00:00:00:03:00:ff:ff:ff:ff:5a:00:00:00:00:00:46:00:00:00:46:00:00:00:46:00:00:00:00:00:00:00:46:00:00:00:00:08:00:3c:01:00:00:00:e7:13:96:f9:ef:23:d8:48:8a:bd:bf:de:9c:b5:d3:b0:00:00:00:00:00:00:00:01:00:00:7e:ff:00:00:00:06:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:01:00:01:01:01,53428,0,0,0
2847,Profinet,DCE RPC CONTROL RESPONSE,28:63:36:a9:ac:eb,28:63:36:9a:90:b3,172.16.106.12,172.16.106.11,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,0,20,160,30,0x6ff9,0,0,0,0xdcbe,53428,140,04:02:0a:00:10:00:00:00:00:00:a0:de:97:6c:d1:11:82:71:00:64:01:01:00:2a:01:00:a0:de:97:6c:d1:11:82:71:00:a0:24:42:df:7d:30:c4:ef:16:00:00:10:10:8d:0e:28:63:36:9a:90:b3:06:00:00:00:01:00:00:00:01:00:00:00:04:00:ff:ff:ff:ff:34:00:00:00:00:00:00:00:00:00:20:00:00:00:20:00:00:00:00:00:00:00:20:00:00:00:81:10:00:1c:01:00:00:00:96:9c:56:37:4d:90:cc:4e:9f:1b:68:8f:3d:d1:0d:89:00:01:00:00:00:08:00:00,49154,0,0,0
2853,Profinet,DCE RPC CONTROL RESPONSE,28:63:36:a9:de:e6,28:63:36:9a:90:b3,172.16.106.14,172.16.106.11,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,0,20,160,30,0x7009,0,0,0,0x0d95,53428,140,04:02:0a:00:10:00:00:00:00:00:a0:de:97:6c:d1:11:82:71:00:64:01:01:00:2a:01:00:a0:de:97:6c:d1:11:82:71:00:a0:24:42:df:7d:96:c4:ef:16:00:00:10:10:8d:0e:28:63:36:9a:90:b3:07:00:00:00:01:00:00:00:01:00:00:00:04:00:ff:ff:ff:ff:34:00:00:00:00:00:00:00:00:00:20:00:00:00:20:00:00:00:00:00:00:00:20:00:00:00:81:10:00:1c:01:00:00:00:55:a5:5c:8c:54:8a:ec:44:a8:8e:b6:c4:55:50:1a:3b:00:01:00:00:00:08:00:00,49154,0,0,0
2857,Profinet,DCE RPC WRITE RESPONSE,00:a0:45:9b:55:d9,28:63:36:9a:90:b3,172.16.106.21,172.16.106.11,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,0,20,192,255,0x8eeb,0,0,0,0x0000,53428,172,04:02:0a:00:10:00:00:00:00:00:a0:de:97:6c:d1:11:82:71:00:01:10:00:00:b0:01:00:a0:de:97:6c:d1:11:82:71:00:a0:24:42:df:7d:68:c2:e0:16:00:00:10:10:8d:0e:28:63:36:9a:90:b3:0a:00:00:00:01:00:00:00:01:00:00:00:03:00:ff:ff:ff:ff:54:00:00:00:00:00:00:00:00:00:40:00:00:00:46:00:00:00:00:00:00:00:40:00:00:00:80:08:00:3c:01:00:00:00:e7:13:96:f9:ef:23:d8:48:8a:bd:bf:de:9c:b5:d3:b0:00:00:00:00:00:00:00:01:00:00:7e:ff:00:00:00:06:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00,49344,0,0,0
3249,Profinet,DCE RPC CONTROL REQUEST,28:63:36:9a:90:b3,00:a0:45:9b:55:d9,172.16.106.11,172.16.106.21,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,0,20,160,64,0xaf98,0,0,0,0x3d1c,49344,140,04:00:20:00:10:00:00:00:00:00:a0:de:97:6c:d1:11:82:71:00:01:10:00:00:b0:01:00:a0:de:97:6c:d1:11:82:71:00:a0:24:42:df:7d:68:c2:e0:16:00:00:10:10:8d:0e:28:63:36:9a:90:b3:0a:00:00:00:01:00:00:00:07:00:00:00:04:00:ff:ff:ff:ff:34:00:00:00:00:00:20:00:00:00:20:00:00:00:20:00:00:00:00:00:00:00:20:00:00:00:01:10:00:1c:01:00:00:00:e7:13:96:f9:ef:23:d8:48:8a:bd:bf:de:9c:b5:d3:b0:00:01:00:00:00:01:00:00,53428,0,0,0
3256,ARP,REQUEST,00:60:34:12:ab:7f,ff:ff:ff:ff:ff:ff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
